name,slug,category,brand,model,description,specifications,price,currency,stockQuantity,images,isFeatured,isActive
"Samsung Galaxy A56 5G","samsung-galaxy-a56-5g","phone","Samsung","Galaxy A56","Reliable mid-range performance with glass build and 50MP OIS camera.","{ ""display"": ""6.6-inch Super AMOLED"", ""processor"": ""Exynos 1580"", ""ram"": ""8GB"", ""storage"": ""256GB"" }",42000,KSH,30,"[""https://samsung.com/galaxy-a56.jpg""]",false,true
"ASUS Vivobook Go 14","asus-vivobook-go-14","laptop","ASUS","Vivobook Go 14","Affordable student-friendly laptop with a lightweight design.","{ ""display"": ""14-inch FHD"", ""processor"": ""Intel Core i3-N305"", ""ram"": ""8GB"", ""storage"": ""256GB SSD"" }",49000,KSH,15,"[""https://asus.com/vivobook-go.jpg""]",false,true
"iPhone 16e 128GB","iphone-16e-128gb","phone","Apple","iPhone 16e","The most affordable entry to the modern iPhone lineup with A18 chip.","{ ""display"": ""6.1-inch Retina"", ""processor"": ""A18 Bionic"", ""ram"": ""6GB"", ""storage"": ""128GB"" }",75000,KSH,40,"[""https://apple.com/iphone-16e.jpg""]",false,true
"MacBook Air 15-inch M4","macbook-air-15-m4","laptop","Apple","MacBook Air 15-inch","Powerful M4 chip in a slim 15.3-inch form factor for daily productivity.","{ ""display"": ""15.3-inch Liquid Retina"", ""processor"": ""Apple M4"", ""ram"": ""16GB"", ""storage"": ""256GB SSD"" }",165000,KSH,18,"[""https://apple.com/macbook-air-15.jpg""]",true,true
"Samsung Galaxy Z Fold 7","samsung-galaxy-z-fold-7","phone","Samsung","Galaxy Z Fold 7","The leading foldable experience with a slimmer profile and massive screen.","{ ""display"": ""7.6-inch Foldable Dynamic AMOLED"", ""processor"": ""Snapdragon 8 Gen 5"", ""ram"": ""12GB"", ""storage"": ""512GB"" }",189000,KSH,5,"[""https://samsung.com/z-fold-7.jpg""]",true,true
"Redmi Note 15 Pro 5G","redmi-note-15-pro-5g","phone","Xiaomi","Redmi Note 15 Pro","Outstanding value with 200MP camera and 120Hz display.","{ ""display"": ""6.67-inch AMOLED"", ""processor"": ""Dimensity 7200"", ""ram"": ""12GB"", ""storage"": ""256GB"" }",39000,KSH,25,"[""https://mi.com/redmi-note-15.jpg""]",false,true
"HP Pavilion x360 14-inch","hp-pavilion-x360-14","laptop","HP","Pavilion x360","Versatile 2-in-1 touchscreen laptop for home and school tasks.","{ ""display"": ""14-inch FHD Touch"", ""processor"": ""Intel Core i5-1335U"", ""ram"": ""16GB"", ""storage"": ""1TB SSD"" }",114000,KSH,12,"[""https://hp.com/pavilion-x360.jpg""]",false,true
"Lenovo ThinkPad X1 Carbon Gen 12","lenovo-thinkpad-x1-carbon-g12","laptop","Lenovo","ThinkPad X1 Carbon","The world's best business ultrabook, now lighter with a 2.8K OLED.","{ ""display"": ""14-inch 2.8K OLED"", ""processor"": ""Intel Core Ultra 7"", ""ram"": ""32GB"", ""storage"": ""1TB SSD"" }",220000,KSH,8,"[""https://lenovo.com/thinkpad-x1.jpg""]",true,true
"Vivo V60 5G","vivo-v60-5g","phone","Vivo","V60 5G","Slim and elegant design focused on portrait photography excellence.","{ ""display"": ""6.7-inch Curved AMOLED"", ""processor"": ""Snapdragon 7 Gen 3"", ""ram"": ""12GB"", ""storage"": ""256GB"" }",57000,KSH,14,"[""https://vivo.com/v60.jpg""]",false,true
"Asus ROG Zephyrus G14","asus-rog-zephyrus-g14","laptop","ASUS","ROG Zephyrus G14","Compact 14-inch gaming beast with OLED display and RTX 4070.","{ ""display"": ""14-inch 3K OLED"", ""processor"": ""AMD Ryzen 9 8945HS"", ""ram"": ""32GB"", ""graphics"": ""RTX 4070"" }",285000,KSH,4,"[""https://asus.com/rog-zephyrus-g14.jpg""]",true,true
"Oppo Find X9 Pro","oppo-find-x9-pro","phone","Oppo","Find X9 Pro","Ultra-premium camera flagship with Hasselblad color tuning.","{ ""display"": ""6.82-inch AMOLED"", ""processor"": ""Snapdragon 8 Gen 5"", ""ram"": ""16GB"", ""storage"": ""512GB"" }",129000,KSH,3,"[""https://oppo.com/find-x9-pro.jpg""]",true,true
"Xiaomi Poco F7 Ultra","xiaomi-poco-f7-ultra","phone","Xiaomi","Poco F7 Ultra","Budget flagship performance killer with high-speed charging.","{ ""display"": ""6.8-inch AMOLED"", ""processor"": ""Snapdragon 8 Gen 4"", ""ram"": ""16GB"", ""storage"": ""512GB"" }",83000,KSH,15,"[""https://mi.com/poco-f7.jpg""]",false,true
"Google Pixel 10a","google-pixel-10a","phone","Google","Pixel 10a","AI-powered photography in a compact, affordable Google design.","{ ""display"": ""6.1-inch OLED"", ""processor"": ""Google Tensor G5"", ""ram"": ""8GB"", ""storage"": ""128GB"" }",80900,KSH,10,"[""https://google.com/pixel-10a.jpg""]",false,true
"Samsung Galaxy S26 Plus","samsung-galaxy-s26-plus","phone","Samsung","Galaxy S26 Plus","The balanced flagship with a large flat display and triple cameras.","{ ""display"": ""6.7-inch AMOLED"", ""processor"": ""Snapdragon 8 Gen 5"", ""ram"": ""12GB"", ""storage"": ""256GB"" }",115000,KSH,11,"[""https://samsung.com/galaxy-s26-plus.jpg""]",false,true
"iPhone 17 Pro 256GB","iphone-17-pro-256gb","phone","Apple","iPhone 17 Pro","The professional standard with A19 Pro chip and pro-grade video.","{ ""display"": ""6.3-inch Super Retina XDR"", ""processor"": ""A19 Pro"", ""ram"": ""12GB"", ""storage"": ""256GB"" }",165000,KSH,15,"[""https://apple.com/iphone-17-pro.jpg""]",true,true
"HP OmniBook Ultra 14","hp-omnibook-ultra-14","laptop","HP","OmniBook Ultra 14","AI-integrated professional laptop with Core Ultra 7 256V.","{ ""display"": ""14-inch OLED"", ""processor"": ""Intel Core Ultra 7"", ""ram"": ""16GB"", ""storage"": ""1TB SSD"" }",185000,KSH,7,"[""https://hp.com/omnibook-ultra.jpg""]",true,true
"Dell Latitude 7450","dell-latitude-7450","laptop","Dell","Latitude 7450","Durable and secure business laptop for modern hybrid work.","{ ""display"": ""14-inch FHD+"", ""processor"": ""Intel Core i5-1345U"", ""ram"": ""16GB"", ""storage"": ""512GB SSD"" }",168000,KSH,20,"[""https://dell.com/latitude-7450.jpg""]",false,true
"Lenovo Yoga Slim 7","lenovo-yoga-slim-7","laptop","Lenovo","Yoga Slim 7","Sleek AI-powered ultrabook featuring Snapdragon X Elite.","{ ""display"": ""14.5-inch 3K OLED"", ""processor"": ""Snapdragon X Elite"", ""ram"": ""32GB"", ""storage"": ""1TB SSD"" }",155000,KSH,9,"[""https://lenovo.com/yoga-slim-7.jpg""]",true,true
"ASUS Zenbook 14 OLED","asus-zenbook-14-oled","laptop","ASUS","Zenbook 14","Premium thin-and-light laptop with a stunning OLED panel.","{ ""display"": ""14-inch 2.8K OLED"", ""processor"": ""Intel Core Ultra 7"", ""ram"": ""16GB"", ""storage"": ""1TB SSD"" }",145000,KSH,11,"[""https://asus.com/zenbook-14.jpg""]",false,true
"Samsung Galaxy S25 FE","samsung-galaxy-s25-fe","phone","Samsung","Galaxy S25 FE","The latest Fan Edition offering flagship power at a lower price.","{ ""display"": ""6.7-inch AMOLED"", ""processor"": ""Exynos 2400"", ""ram"": ""8GB"", ""storage"": ""256GB"" }",71800,KSH,18,"[""https://samsung.com/galaxy-s25-fe.jpg""]",false,true
